药物1,药物2,相互作用类型,详细描述
ranolazine,amphotericin B,药效减弱,Amphotericin B may decrease the excretion rate of Ranolazine which could result in a higher serum level.
ranolazine,etodolac,药效减弱,Etodolac may decrease the excretion rate of Ranolazine which could result in a higher serum level.
ranolazine,aspirin,药效减弱,Acetylsalicylic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.
ranolazine,bleomycin,药效减弱,Ranolazine may decrease the excretion rate of Bleomycin which could result in a higher serum level.
ranolazine,FUdR,药效减弱,Ranolazine may decrease the excretion rate of Floxuridine which could result in a higher serum level.
ranolazine,perindopril,药效减弱,Ranolazine may decrease the excretion rate of Perindopril which could result in a higher serum level.
ranolazine,ArAAC,药效减弱,Ranolazine may decrease the excretion rate of Azacitidine which could result in a higher serum level.
ranolazine,auranofin,药效减弱,Ranolazine may decrease the excretion rate of Auranofin which could result in a higher serum level.
ranolazine,sibutramine,药效减弱,Ranolazine may decrease the excretion rate of Sibutramine which could result in a higher serum level.
ranolazine,doripenem,药效减弱,Ranolazine may decrease the excretion rate of Doripenem which could result in a higher serum level.
ranolazine,flupirtine,药效减弱,Ranolazine may decrease the excretion rate of Flupirtine which could result in a higher serum level.
ranolazine,pralatrexate,药效减弱,Ranolazine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.
ranolazine,mycophenolate mofetil,药效减弱,Ranolazine may decrease the excretion rate of Mycophenolate mofetil which could result in a higher serum level.
ranolazine,tadalafil,药效减弱,Ranolazine may decrease the excretion rate of Tadalafil which could result in a higher serum level.
ranolazine,prednisone,药效减弱,Ranolazine may decrease the excretion rate of Prednisone which could result in a higher serum level.
ranolazine,tobramycin,药效减弱,Ranolazine may decrease the excretion rate of Tobramycin which could result in a higher serum level.
ranolazine,neomycin sulphate,药效减弱,Ranolazine may decrease the excretion rate of Neomycin which could result in a higher serum level.
ranolazine,streptomycin,药效减弱,Ranolazine may decrease the excretion rate of Streptomycin which could result in a higher serum level.
ranolazine,kanamycin,药效减弱,Ranolazine may decrease the excretion rate of Kanamycin which could result in a higher serum level.
ranolazine,isepamicin,药效减弱,Ranolazine may decrease the excretion rate of Isepamicin which could result in a higher serum level.
ranolazine,diiminoplatinum;glycolic acid,药效减弱,Ranolazine may decrease the excretion rate of Nedaplatin which could result in a higher serum level.
ranolazine,metolazone,药效减弱,Ranolazine may decrease the excretion rate of Metolazone which could result in a higher serum level.
ranolazine,dichlorphenamide,药效增强,Diclofenamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.
ranolazine,theobromine,药效增强,Theobromine may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.
ranolazine,binimetinib,药效增强,The serum concentration of Binimetinib can be increased when it is combined with Ranolazine.
ranolazine,NVP-BGJ398,药效减弱,The metabolism of Infigratinib can be decreased when combined with Ranolazine.
ranolazine,aminophylline,药效减弱,The metabolism of Aminophylline can be decreased when combined with Ranolazine.
ranolazine,sunitinib malate,药效减弱,The metabolism of Sunitinib can be decreased when combined with Ranolazine.
ranolazine,methotrexate,药效减弱,The metabolism of Methotrexate can be decreased when combined with Ranolazine.
ranolazine,biperiden,药效减弱,The metabolism of Ranolazine can be decreased when combined with Biperiden.
ranolazine,Cp-4-mp,药效增强,The serum concentration of Cisplatin can be increased when it is combined with Ranolazine.
ranolazine,enzalutamide,药效增强,The metabolism of Ranolazine can be increased when combined with Enzalutamide.
ranolazine,lumacaftor,药效增强,The metabolism of Ranolazine can be increased when combined with Lumacaftor.
ranolazine,betamethasone dipropionate,药效增强,The metabolism of Ranolazine can be increased when combined with Betamethasone.
ranolazine,vinblastine sulfate,药效增强,The metabolism of Ranolazine can be increased when combined with Vinblastine.
ranolazine,etoposide,药效增强,The metabolism of Ranolazine can be increased when combined with Etoposide.
ranolazine,methylprednisolone,药效增强,The metabolism of Ranolazine can be increased when combined with Methylprednisolone.
ranolazine,dexamethasone,药效增强,The metabolism of Ranolazine can be increased when combined with Dexamethasone.
ranolazine,dabrafenib,药效增强,The metabolism of Ranolazine can be increased when combined with Dabrafenib.
ranolazine,ARN-509,药效增强,The metabolism of Ranolazine can be increased when combined with Apalutamide.
ranolazine,trametinib,药效减弱,Ranolazine may decrease the excretion rate of Trametinib which could result in a higher serum level.
